[2017-08-28 18:14:00.694] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:00.907] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:00.913] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:01.057] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:01.140] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:01.163] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:01.402] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:01.402] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:01.485] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:01.501] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:01.593] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:27.946] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:27.947] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:27.947] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:27.947] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:27.948] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:27.949] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:27.956] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:27.957] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:28.014] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:28.085] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:28.092] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:28.092] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:28.254] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:52.940] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.183] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.184] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.185] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.186] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.206] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.275] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.426] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.472] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.571] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.623] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.706] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:14:53.830] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:15:45.098] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:15:45.172] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:15:45.173] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:31:36.351] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:31:36.352] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
[2017-08-28 18:31:36.497] [WARN] pomelo - [33m[G:\server\game-server\node_modules\.2.2.5@pomelo\lib\master\starter.js] [39mchild process exit with error, error code: 1, executed command: C:\Program Files\nodejs\node.exe
